Date,Visitor,G,Home,G,,Att.,LOG,Notes
2007-10-17,St. Louis Blues,3,Chicago Blackhawks,1,,10002,,
2007-10-17,New Jersey Devils,5,Pittsburgh Penguins,4,,16990,,
2007-10-18,New York Rangers,3,Atlanta Thrashers,5,,14076,,
2007-10-18,Tampa Bay Lightning,1,Boston Bruins,4,,16363,,
2007-10-18,Los Angeles Kings,3,Calgary Flames,4,,19289,,
2007-10-18,Montreal Canadiens,3,Ottawa Senators,4,,20019,,
2007-10-18,New Jersey Devils,0,Philadelphia Flyers,4,,19113,,
2007-10-18,Edmonton Oilers,4,Phoenix Coyotes,2,,10448,,
2007-10-18,Detroit Red Wings,4,San Jose Sharks,2,,17496,,
2007-10-18,Florida Panthers,2,Toronto Maple Leafs,3,,19349,,
2007-10-18,New York Islanders,5,Washington Capitals,2,,11036,,
2007-10-19,Columbus Blue Jackets,3,Buffalo Sabres,0,,18690,,
2007-10-19,Colorado Avalanche,3,Chicago Blackhawks,5,,13519,,
2007-10-19,Carolina Hurricanes,3,Pittsburgh Penguins,4,SO,17132,,
2007-10-19,Los Angeles Kings,4,Vancouver Canucks,2,,18630,,
2007-10-20,New York Rangers,0,Boston Bruins,1,SO,15266,,
2007-10-20,Edmonton Oilers,1,Calgary Flames,4,,19289,,
2007-10-20,Anaheim Ducks,1,Dallas Stars,3,,18057,,
2007-10-20,Buffalo Sabres,2,Montreal Canadiens,4,,21273,,
2007-10-20,New Jersey Devils,3,New York Islanders,4,OT,14092,,
2007-10-20,Florida Panthers,1,Ottawa Senators,4,,19904,,
2007-10-20,Carolina Hurricanes,2,Philadelphia Flyers,3,OT,19615,,
2007-10-20,Detroit Red Wings,5,Phoenix Coyotes,2,,14154,,
2007-10-20,Nashville Predators,0,San Jose Sharks,3,,17496,,
2007-10-20,Minnesota Wild,3,St. Louis Blues,1,,19150,,
2007-10-20,Atlanta Thrashers,2,Tampa Bay Lightning,6,,19420,,
2007-10-20,Chicago Blackhawks,6,Toronto Maple Leafs,4,,19314,,
2007-10-20,Pittsburgh Penguins,2,Washington Capitals,1,,18277,,
2007-10-21,Vancouver Canucks,4,Columbus Blue Jackets,1,,12667,,
2007-10-21,Colorado Avalanche,2,Minnesota Wild,3,,18568,,
2007-10-22,Vancouver Canucks,1,Carolina Hurricanes,3,,15532,,
2007-10-22,San Jose Sharks,4,Calgary Flames,1,,19289,,
2007-10-22,Boston Bruins,1,Montreal Canadiens,6,,21273,,
2007-10-23,Columbus Blue Jackets,7,Chicago Blackhawks,4,,10884,,
2007-10-23,Colorado Avalanche,4,Edmonton Oilers,2,,16839,,
2007-10-23,Nashville Predators,0,Los Angeles Kings,6,,14026,,
2007-10-23,New York Rangers,0,Pittsburgh Penguins,1,,17012,,
2007-10-23,Anaheim Ducks,2,St. Louis Blues,4,,14764,,
2007-10-23,Atlanta Thrashers,5,Toronto Maple Leafs,4,SO,19210,,
2007-10-24,Buffalo Sabres,2,Carolina Hurricanes,6,,16058,,
2007-10-24,Minnesota Wild,3,Calgary Flames,5,,19289,,
2007-10-24,Vancouver Canucks,2,Detroit Red Wings,3,,17015,,
2007-10-24,Philadelphia Flyers,3,Florida Panthers,4,,12856,,
