Date,Visitor,G,Home,G,,Att.,LOG,Notes
2010-10-07,Chicago Blackhawks,3,Colorado Avalanche,4,OT,18007,,
2010-10-07,Calgary Flames,0,Edmonton Oilers,4,,16839,,
2010-10-07,Carolina Hurricanes,4,Minnesota Wild,3,,12355,,at Helsinki FI
2010-10-07,Philadelphia Flyers,3,Pittsburgh Penguins,2,,18289,,
2010-10-07,Montreal Canadiens,2,Toronto Maple Leafs,3,,19646,,
2010-10-08,Washington Capitals,2,Atlanta Thrashers,4,,15596,,
2010-10-08,Minnesota Wild,1,Carolina Hurricanes,2,SO,13465,,at Helsinki FI
2010-10-08,San Jose Sharks,3,Columbus Blue Jackets,2,,11324,,at Stockholm SE
2010-10-08,Anaheim Ducks,0,Detroit Red Wings,4,,20066,,
2010-10-08,Dallas Stars,4,New Jersey Devils,3,OT,17625,,
2010-10-08,Buffalo Sabres,2,Ottawa Senators,1,,19350,,
2010-10-09,Phoenix Coyotes,5,Boston Bruins,2,,15299,,at Prague CZ
2010-10-09,New York Rangers,6,Buffalo Sabres,3,,18690,,
2010-10-09,Detroit Red Wings,3,Chicago Blackhawks,2,,22161,,
2010-10-09,Anaheim Ducks,1,Nashville Predators,4,,17113,,
2010-10-09,Dallas Stars,5,New York Islanders,4,SO,13351,,
2010-10-09,Montreal Canadiens,3,Pittsburgh Penguins,2,,18106,,
2010-10-09,Columbus Blue Jackets,3,San Jose Sharks,2,OT,9537,,at Stockholm SE
2010-10-09,Philadelphia Flyers,1,St. Louis Blues,2,OT,19150,,
2010-10-09,Atlanta Thrashers,3,Tampa Bay Lightning,5,,19791,,
2010-10-09,Ottawa Senators,1,Toronto Maple Leafs,5,,19157,,
2010-10-09,Los Angeles Kings,2,Vancouver Canucks,1,SO,18860,,
2010-10-09,New Jersey Devils,2,Washington Capitals,7,,18398,,
2010-10-10,Los Angeles Kings,1,Calgary Flames,3,,19289,,
2010-10-10,Florida Panthers,2,Edmonton Oilers,3,,16839,,
2010-10-10,Boston Bruins,3,Phoenix Coyotes,0,,12990,,at Prague CZ
2010-10-11,Chicago Blackhawks,4,Buffalo Sabres,3,,17896,,
2010-10-11,Pittsburgh Penguins,3,New Jersey Devils,1,,12880,,
2010-10-11,New York Rangers,4,New York Islanders,6,,11748,,
2010-10-11,Colorado Avalanche,2,Philadelphia Flyers,4,,19652,,
2010-10-11,Anaheim Ducks,1,St. Louis Blues,5,,19150,,
2010-10-11,Florida Panthers,1,Vancouver Canucks,2,,18860,,
2010-10-11,Ottawa Senators,2,Washington Capitals,3,OT,18398,,
2010-10-12,Colorado Avalanche,5,Detroit Red Wings,4,SO,19651,,
2010-10-12,Atlanta Thrashers,1,Los Angeles Kings,3,,18118,,
2010-10-13,Vancouver Canucks,3,Anaheim Ducks,4,,17174,,
2010-10-13,New Jersey Devils,1,Buffalo Sabres,0,OT,18690,,
2010-10-13,Nashville Predators,3,Chicago Blackhawks,2,,20680,,
2010-10-13,Tampa Bay Lightning,4,Montreal Canadiens,3,OT,21273,,
2010-10-13,Toronto Maple Leafs,4,Pittsburgh Penguins,3,,18112,,
2010-10-13,New York Islanders,1,Washington Capitals,2,,18398,,
2010-10-14,Florida Panthers,3,Calgary Flames,0,,19289,,
2010-10-14,Detroit Red Wings,1,Dallas Stars,4,,18532,,
2010-10-14,Edmonton Oilers,2,Minnesota Wild,4,,18449,,
2010-10-14,St. Louis Blues,3,Nashville Predators,4,,15103,,
2010-10-14,Carolina Hurricanes,2,Ottawa Senators,3,,16270,,
2010-10-14,Tampa Bay Lightning,3,Philadelphia Flyers,2,,19592,,
2010-10-15,Atlanta Thrashers,5,Anaheim Ducks,4,SO,13123,,
2010-10-15,Montreal Canadiens,2,Buffalo Sabres,1,,17264,,
2010-10-15,Chicago Blackhawks,5,Columbus Blue Jackets,2,,18305,,
2010-10-15,Vancouver Canucks,1,Los Angeles Kings,4,,18118,,
2010-10-15,Colorado Avalanche,3,New Jersey Devils,2,,12221,,
2010-10-15,Toronto Maple Leafs,4,New York Rangers,3,OT,18200,,
