Date,Visitor,G,Home,G,,Att.,LOG,Notes
2009-10-28,New York Rangers,1,New York Islanders,3,,15213,,
2009-10-28,Montreal Canadiens,1,Pittsburgh Penguins,6,,16965,,
2009-10-28,Los Angeles Kings,1,San Jose Sharks,2,SO,17562,,
2009-10-29,Washington Capitals,4,Atlanta Thrashers,3,,12893,,
2009-10-29,New Jersey Devils,2,Boston Bruins,1,,17565,,
2009-10-29,Detroit Red Wings,5,Edmonton Oilers,6,SO,16839,,
2009-10-29,Vancouver Canucks,2,Los Angeles Kings,1,SO,16838,,
2009-10-29,Chicago Blackhawks,0,Nashville Predators,2,,13585,,
2009-10-29,Phoenix Coyotes,2,St. Louis Blues,0,,18087,,
2009-10-29,Ottawa Senators,2,Tampa Bay Lightning,5,,13213,,
2009-10-30,Vancouver Canucks,2,Anaheim Ducks,7,,14756,,
2009-10-30,Toronto Maple Leafs,2,Buffalo Sabres,3,OT,18300,,
2009-10-30,Pittsburgh Penguins,4,Columbus Blue Jackets,3,SO,19136,,
2009-10-30,Montreal Canadiens,2,Chicago Blackhawks,3,,20807,,
2009-10-30,Florida Panthers,6,Dallas Stars,5,SO,16824,,
2009-10-30,New York Rangers,2,Minnesota Wild,3,,18106,,
2009-10-30,Colorado Avalanche,1,San Jose Sharks,3,,17562,,
2009-10-30,New York Islanders,4,Washington Capitals,3,OT,18277,,
2009-10-31,Edmonton Oilers,0,Boston Bruins,2,,17565,,
2009-10-31,Detroit Red Wings,3,Calgary Flames,1,,19289,,
2009-10-31,Toronto Maple Leafs,4,Montreal Canadiens,5,SO,21273,,
2009-10-31,Dallas Stars,2,Nashville Predators,4,,12520,,
2009-10-31,Buffalo Sabres,0,New York Islanders,5,,8889,,
2009-10-31,Atlanta Thrashers,3,Ottawa Senators,1,,17297,,
2009-10-31,Carolina Hurricanes,1,Philadelphia Flyers,6,,19076,,
2009-10-31,Anaheim Ducks,2,Phoenix Coyotes,3,SO,6495,,
2009-10-31,Minnesota Wild,2,Pittsburgh Penguins,1,,16960,,
2009-10-31,Florida Panthers,4,St. Louis Blues,0,,17943,,
2009-10-31,New Jersey Devils,2,Tampa Bay Lightning,1,SO,12154,,
2009-11-01,San Jose Sharks,5,Carolina Hurricanes,1,,15089,,
2009-11-01,Boston Bruins,0,New York Rangers,1,,18200,,
2009-11-01,Colorado Avalanche,0,Vancouver Canucks,3,,18810,,
2009-11-01,Columbus Blue Jackets,5,Washington Capitals,4,OT,18277,,
2009-11-02,Edmonton Oilers,1,New York Islanders,3,,10846,,
2009-11-02,Tampa Bay Lightning,2,Philadelphia Flyers,6,,18667,,
2009-11-02,Los Angeles Kings,5,Phoenix Coyotes,3,,5855,,
2009-11-03,Pittsburgh Penguins,4,Anaheim Ducks,3,,16128,,
2009-11-03,Boston Bruins,0,Detroit Red Wings,2,,19167,,
2009-11-03,Atlanta Thrashers,5,Montreal Canadiens,4,,21273,,
2009-11-03,Tampa Bay Lightning,2,Toronto Maple Leafs,1,OT,19301,,
2009-11-03,New York Rangers,1,Vancouver Canucks,4,,18810,,
2009-11-04,New York Islanders,0,Buffalo Sabres,3,,17626,,
2009-11-04,San Jose Sharks,3,Columbus Blue Jackets,2,SO,13401,,
2009-11-04,Phoenix Coyotes,1,Colorado Avalanche,4,,11012,,
2009-11-04,Calgary Flames,3,Dallas Stars,2,OT,16369,,
2009-11-04,Carolina Hurricanes,0,Florida Panthers,3,,12424,,
2009-11-04,Washington Capitals,2,New Jersey Devils,3,,13498,,
2009-11-05,Nashville Predators,0,Anaheim Ducks,4,,14298,,
2009-11-05,Columbus Blue Jackets,4,Atlanta Thrashers,3,,10878,,
2009-11-05,Montreal Canadiens,2,Boston Bruins,1,SO,17565,,
2009-11-05,San Jose Sharks,1,Detroit Red Wings,2,SO,19558,,
2009-11-05,New York Rangers,4,Edmonton Oilers,2,,16839,,
2009-11-05,Pittsburgh Penguins,2,Los Angeles Kings,5,,18118,,
2009-11-05,Vancouver Canucks,5,Minnesota Wild,2,,18105,,
2009-11-05,Tampa Bay Lightning,2,Ottawa Senators,3,OT,17511,,
2009-11-05,Chicago Blackhawks,1,Phoenix Coyotes,3,,10362,,
2009-11-05,Calgary Flames,2,St. Louis Blues,1,OT,17559,,
2009-11-06,Philadelphia Flyers,5,Buffalo Sabres,2,,18525,,
2009-11-06,Toronto Maple Leafs,3,Carolina Hurricanes,2,,14164,,
2009-11-06,Chicago Blackhawks,3,Colorado Avalanche,4,SO,15616,,
2009-11-06,Vancouver Canucks,1,Dallas Stars,2,,17235,,
2009-11-06,Washington Capitals,4,Florida Panthers,1,,15877,,
2009-11-06,New York Islanders,1,New Jersey Devils,2,,14109,,
2009-11-07,Phoenix Coyotes,3,Anaheim Ducks,4,,15269,,
2009-11-07,Buffalo Sabres,2,Boston Bruins,4,,17565,,
2009-11-07,Carolina Hurricanes,2,Columbus Blue Jackets,3,,14850,,
2009-11-07,New York Rangers,1,Calgary Flames,3,,19289,,
2009-11-07,Nashville Predators,3,Los Angeles Kings,1,,15237,,
2009-11-07,Dallas Stars,2,Minnesota Wild,3,,18558,,
2009-11-07,Tampa Bay Lightning,3,Montreal Canadiens,1,,21273,,
2009-11-07,Atlanta Thrashers,3,New York Islanders,6,,14119,,
2009-11-07,New Jersey Devils,3,Ottawa Senators,2,,18781,,
2009-11-07,St. Louis Blues,1,Philadelphia Flyers,2,SO,19542,,
2009-11-07,Pittsburgh Penguins,0,San Jose Sharks,5,,17562,,
2009-11-07,Detroit Red Wings,1,Toronto Maple Leafs,5,,19303,,
2009-11-07,Florida Panthers,4,Washington Capitals,7,,18277,,
2009-11-08,St. Louis Blues,2,Atlanta Thrashers,3,SO,10904,,
2009-11-08,Edmonton Oilers,5,Colorado Avalanche,3,,12118,,
2009-11-09,Los Angeles Kings,1,Chicago Blackhawks,4,,20293,,
2009-11-10,Pittsburgh Penguins,0,Boston Bruins,3,,17565,,
2009-11-10,Calgary Flames,1,Montreal Canadiens,0,,21273,,
2009-11-10,Edmonton Oilers,3,Ottawa Senators,4,SO,17977,,
2009-11-10,Nashville Predators,3,San Jose Sharks,4,,17562,,
2009-11-10,Vancouver Canucks,1,St. Louis Blues,6,,17175,,
2009-11-10,Minnesota Wild,5,Toronto Maple Leafs,2,,19063,,
2009-11-11,Edmonton Oilers,1,Buffalo Sabres,3,,17797,,
2009-11-11,Los Angeles Kings,5,Carolina Hurricanes,2,,13510,,
2009-11-11,Detroit Red Wings,9,Columbus Blue Jackets,1,,15304,,
2009-11-11,Colorado Avalanche,2,Chicago Blackhawks,3,SO,20879,,
2009-11-11,Anaheim Ducks,1,New Jersey Devils,3,,14123,,
2009-11-11,New York Islanders,4,Washington Capitals,5,SO,18277,,
2009-11-12,Florida Panthers,1,Boston Bruins,0,SO,17074,,
2009-11-12,Vancouver Canucks,1,Detroit Red Wings,3,,20066,,
2009-11-12,Atlanta Thrashers,5,New York Rangers,3,,18200,,
2009-11-12,Ottawa Senators,1,Philadelphia Flyers,5,,19321,,
2009-11-12,Montreal Canadiens,4,Phoenix Coyotes,2,,10064,,
2009-11-12,New Jersey Devils,4,Pittsburgh Penguins,1,,17005,,
2009-11-12,Dallas Stars,3,San Jose Sharks,2,SO,17562,,
2009-11-12,Nashville Predators,3,St. Louis Blues,1,,19150,,
2009-11-12,Minnesota Wild,3,Tampa Bay Lightning,4,SO,14530,,
2009-11-13,Los Angeles Kings,0,Atlanta Thrashers,7,,15638,,
2009-11-13,Calgary Flames,1,Buffalo Sabres,2,SO,18690,,
2009-11-13,New York Islanders,4,Carolina Hurricanes,3,OT,14163,,
2009-11-13,Anaheim Ducks,2,Columbus Blue Jackets,3,SO,15577,,
2009-11-13,Toronto Maple Leafs,2,Chicago Blackhawks,3,,21036,,
2009-11-13,Minnesota Wild,1,Washington Capitals,3,,18277,,
2009-11-14,Vancouver Canucks,8,Colorado Avalanche,2,,15823,,
2009-11-14,Anaheim Ducks,4,Detroit Red Wings,7,,20066,,
2009-11-14,New York Islanders,4,Florida Panthers,5,SO,15921,,
2009-11-14,Washington Capitals,2,New Jersey Devils,5,,16521,,
2009-11-14,Montreal Canadiens,0,Nashville Predators,2,,15604,,
2009-11-14,New York Rangers,2,Ottawa Senators,1,SO,17561,,
2009-11-14,Buffalo Sabres,3,Philadelphia Flyers,2,,19641,,
2009-11-14,Dallas Stars,2,Phoenix Coyotes,3,,11319,,
2009-11-14,Boston Bruins,5,Pittsburgh Penguins,6,OT,17132,,
2009-11-14,San Jose Sharks,3,St. Louis Blues,1,,19150,,
2009-11-14,Los Angeles Kings,2,Tampa Bay Lightning,1,SO,16612,,
2009-11-14,Calgary Flames,5,Toronto Maple Leafs,2,,19316,,
2009-11-15,Edmonton Oilers,2,Atlanta Thrashers,3,,11091,,
2009-11-15,Minnesota Wild,4,Carolina Hurricanes,5,SO,12194,,
2009-11-15,San Jose Sharks,3,Chicago Blackhawks,4,OT,21130,,
2009-11-16,New York Islanders,4,Boston Bruins,1,,16865,,
2009-11-16,Edmonton Oilers,2,Columbus Blue Jackets,3,SO,13030,,
2009-11-16,Los Angeles Kings,4,Florida Panthers,3,SO,12502,,
2009-11-16,New Jersey Devils,2,Philadelphia Flyers,3,,19673,,
2009-11-16,Tampa Bay Lightning,4,Phoenix Coyotes,1,,9503,,
2009-11-16,Anaheim Ducks,2,Pittsburgh Penguins,5,,17052,,
2009-11-17,Colorado Avalanche,3,Calgary Flames,2,,19289,,
2009-11-17,Carolina Hurricanes,2,Montreal Canadiens,3,SO,21273,,
2009-11-17,San Jose Sharks,3,Nashville Predators,4,,13324,,
2009-11-17,Washington Capitals,4,New York Rangers,2,,18200,,
2009-11-17,Toronto Maple Leafs,2,Ottawa Senators,3,,17406,,
2009-11-18,Florida Panthers,6,Buffalo Sabres,2,,18546,,
2009-11-18,Dallas Stars,3,Detroit Red Wings,1,,18112,,
2009-11-18,Colorado Avalanche,4,Edmonton Oilers,6,,16839,,
2009-11-18,Philadelphia Flyers,3,Los Angeles Kings,2,,17821,,
2009-11-18,Phoenix Coyotes,3,Minnesota Wild,2,,18110,,
2009-11-19,Tampa Bay Lightning,3,Anaheim Ducks,4,OT,14555,,
2009-11-19,Boston Bruins,4,Atlanta Thrashers,3,SO,12112,,
2009-11-19,Toronto Maple Leafs,5,Carolina Hurricanes,6,SO,13502,,
2009-11-19,Chicago Blackhawks,7,Calgary Flames,1,,19289,,
2009-11-19,Columbus Blue Jackets,4,Dallas Stars,1,,16155,,
2009-11-19,New Jersey Devils,2,Nashville Predators,3,SO,13445,,
2009-11-19,Pittsburgh Penguins,2,Ottawa Senators,6,,17039,,
2009-11-19,Phoenix Coyotes,2,St. Louis Blues,3,OT,17107,,
2009-11-20,Boston Bruins,2,Buffalo Sabres,1,OT,18291,,
2009-11-20,Florida Panthers,2,Detroit Red Wings,1,OT,18634,,
2009-11-20,New York Islanders,2,Minnesota Wild,3,,18114,,
2009-11-20,Philadelphia Flyers,3,San Jose Sharks,6,,17562,,
2009-11-20,Colorado Avalanche,2,Vancouver Canucks,5,,18810,,
2009-11-20,Montreal Canadiens,3,Washington Capitals,2,,18277,,
2009-11-21,San Jose Sharks,3,Anaheim Ducks,2,,15066,,
2009-11-21,Pittsburgh Penguins,3,Atlanta Thrashers,2,,17588,,
2009-11-21,Tampa Bay Lightning,1,Carolina Hurricanes,3,,13224,,
2009-11-21,New Jersey Devils,3,Dallas Stars,5,,17514,,
2009-11-21,Chicago Blackhawks,5,Edmonton Oilers,2,,16839,,
2009-11-21,Calgary Flames,5,Los Angeles Kings,2,,16336,,
2009-11-21,Detroit Red Wings,3,Montreal Canadiens,2,SO,21273,,
2009-11-21,Columbus Blue Jackets,3,Nashville Predators,4,SO,13790,,
2009-11-21,Florida Panthers,3,New York Rangers,2,,18200,,
2009-11-21,Buffalo Sabres,3,Ottawa Senators,5,,17206,,
2009-11-21,Philadelphia Flyers,1,Phoenix Coyotes,3,,11106,,
2009-11-21,New York Islanders,1,St. Louis Blues,4,,19150,,
2009-11-21,Washington Capitals,1,Toronto Maple Leafs,2,SO,19455,,
2009-11-22,Tampa Bay Lightning,4,Atlanta Thrashers,3,OT,13342,,
2009-11-22,Chicago Blackhawks,1,Vancouver Canucks,0,,18810,,
2009-11-23,Calgary Flames,2,Anaheim Ducks,3,SO,15348,,
2009-11-23,Philadelphia Flyers,4,Colorado Avalanche,5,,13281,,
2009-11-23,Carolina Hurricanes,0,Dallas Stars,2,,16243,,
2009-11-23,Phoenix Coyotes,0,Edmonton Oilers,4,,16839,,
2009-11-23,Pittsburgh Penguins,3,Florida Panthers,2,OT,17024,,
2009-11-23,Detroit Red Wings,1,Nashville Predators,3,,14410,,
2009-11-23,Columbus Blue Jackets,4,New York Rangers,7,,18200,,
2009-11-23,Washington Capitals,3,Ottawa Senators,4,OT,16210,,
2009-11-23,Boston Bruins,4,St. Louis Blues,2,,19150,,
2009-11-23,New York Islanders,4,Toronto Maple Leafs,3,OT,19263,,
2009-11-24,Columbus Blue Jackets,3,Montreal Canadiens,5,,21273,,
2009-11-25,Carolina Hurricanes,2,Anaheim Ducks,3,,14766,,
2009-11-25,Phoenix Coyotes,1,Calgary Flames,2,,19289,,
2009-11-25,Nashville Predators,4,Colorado Avalanche,3,OT,12356,,
2009-11-25,St. Louis Blues,4,Dallas Stars,3,SO,18156,,
2009-11-25,Atlanta Thrashers,2,Detroit Red Wings,0,,19751,,
2009-11-25,Los Angeles Kings,3,Edmonton Oilers,1,,16839,,
2009-11-25,New York Rangers,2,Florida Panthers,1,SO,16281,,
2009-11-25,Boston Bruins,2,Minnesota Wild,1,SO,18208,,
2009-11-25,Ottawa Senators,1,New Jersey Devils,3,,14056,,
2009-11-25,Philadelphia Flyers,2,New York Islanders,1,,12687,,
2009-11-25,Montreal Canadiens,1,Pittsburgh Penguins,3,,17094,,
2009-11-25,Chicago Blackhawks,7,San Jose Sharks,2,,17562,,
2009-11-25,Toronto Maple Leafs,4,Tampa Bay Lightning,3,,15333,,
2009-11-25,Buffalo Sabres,0,Washington Capitals,2,,18277,,
2009-11-26,Columbus Blue Jackets,1,Ottawa Senators,2,,19244,,
2009-11-26,Los Angeles Kings,1,Vancouver Canucks,4,,18810,,
2009-11-27,Chicago Blackhawks,0,Anaheim Ducks,3,,15068,,
2009-11-27,New Jersey Devils,2,Boston Bruins,1,SO,17565,,
2009-11-27,Atlanta Thrashers,6,Carolina Hurricanes,4,,14463,,
2009-11-27,Calgary Flames,3,Detroit Red Wings,0,,20066,,
2009-11-27,San Jose Sharks,5,Edmonton Oilers,4,SO,16839,,
2009-11-27,Toronto Maple Leafs,6,Florida Panthers,4,,16101,,
2009-11-27,Colorado Avalanche,3,Minnesota Wild,5,,18365,,
2009-11-27,St. Louis Blues,3,Nashville Predators,1,,13170,,
2009-11-27,Pittsburgh Penguins,2,New York Islanders,3,,15262,,
2009-11-27,Buffalo Sabres,4,Philadelphia Flyers,2,,19673,,
2009-11-27,Dallas Stars,2,Phoenix Coyotes,5,,10691,,
2009-11-27,New York Rangers,1,Tampa Bay Lightning,5,,17608,,
2009-11-28,Philadelphia Flyers,0,Atlanta Thrashers,1,,16018,,
2009-11-28,Ottawa Senators,3,Boston Bruins,4,SO,17565,,
2009-11-28,Carolina Hurricanes,1,Buffalo Sabres,5,,18690,,
2009-11-28,Calgary Flames,4,Columbus Blue Jackets,3,SO,17772,,
2009-11-28,Minnesota Wild,3,Colorado Avalanche,2,SO,15303,,
2009-11-28,Tampa Bay Lightning,3,Dallas Stars,4,OT,17334,,
2009-11-28,Chicago Blackhawks,1,Los Angeles Kings,2,SO,18118,,
2009-11-28,Washington Capitals,4,Montreal Canadiens,3,SO,21273,,
2009-11-28,New York Islanders,1,New Jersey Devils,6,,16961,,
2009-11-28,Florida Panthers,1,Nashville Predators,4,,14120,,
2009-11-28,New York Rangers,3,Pittsburgh Penguins,8,,17122,,
