Date,Visitor,G,Home,G,,Att.,LOG,Notes
2017-04-12,San Jose Sharks,3,Edmonton Oilers,2,OT,18347,2:40,
2017-04-12,St. Louis Blues,2,Minnesota Wild,1,OT,19168,3:18,
2017-04-12,New York Rangers,2,Montreal Canadiens,0,,21288,2:30,
2017-04-12,Boston Bruins,2,Ottawa Senators,1,,18702,2:30,
2017-04-12,Columbus Blue Jackets,1,Pittsburgh Penguins,3,,18563,2:37,
2017-04-13,Calgary Flames,2,Anaheim Ducks,3,,17174,2:45,
2017-04-13,Nashville Predators,1,Chicago Blackhawks,0,,22075,2:27,
2017-04-13,Toronto Maple Leafs,2,Washington Capitals,3,OT,18506,3:02,
2017-04-14,San Jose Sharks,0,Edmonton Oilers,2,,18347,2:25,
2017-04-14,St. Louis Blues,2,Minnesota Wild,1,,19404,2:41,
2017-04-14,New York Rangers,3,Montreal Canadiens,4,OT,21288,3:20,
2017-04-14,Columbus Blue Jackets,1,Pittsburgh Penguins,4,,18622,2:33,
2017-04-15,Calgary Flames,2,Anaheim Ducks,3,,17271,2:49,
2017-04-15,Nashville Predators,5,Chicago Blackhawks,0,,22175,2:30,
2017-04-15,Boston Bruins,3,Ottawa Senators,4,OT,18629,2:49,
2017-04-15,Toronto Maple Leafs,4,Washington Capitals,3,2OT,18506,4:21,
2017-04-16,Pittsburgh Penguins,5,Columbus Blue Jackets,4,OT,19092,3:10,
2017-04-16,Montreal Canadiens,3,New York Rangers,1,,18006,2:31,
2017-04-16,Edmonton Oilers,1,San Jose Sharks,0,,17562,2:16,
2017-04-16,Minnesota Wild,1,St. Louis Blues,3,,19334,2:45,
2017-04-17,Ottawa Senators,4,Boston Bruins,3,OT,17565,3:00,
2017-04-17,Anaheim Ducks,5,Calgary Flames,4,OT,19289,3:04,
2017-04-17,Chicago Blackhawks,2,Nashville Predators,3,OT,17204,4:23,
2017-04-17,Washington Capitals,3,Toronto Maple Leafs,4,OT,19861,2:52,
2017-04-18,Pittsburgh Penguins,4,Columbus Blue Jackets,5,,19093,2:27,
2017-04-18,Montreal Canadiens,1,New York Rangers,2,,18006,2:37,
2017-04-18,Edmonton Oilers,0,San Jose Sharks,7,,17562,2:31,
2017-04-19,Ottawa Senators,1,Boston Bruins,0,,17565,2:33,
2017-04-19,Anaheim Ducks,3,Calgary Flames,1,,19289,2:32,
2017-04-19,Minnesota Wild,2,St. Louis Blues,0,,19791,2:38,
2017-04-19,Washington Capitals,5,Toronto Maple Leafs,4,,19838,2:42,
2017-04-20,San Jose Sharks,3,Edmonton Oilers,4,OT,18347,3:10,
2017-04-20,New York Rangers,3,Montreal Canadiens,2,OT,21288,3:07,
2017-04-20,Chicago Blackhawks,1,Nashville Predators,4,,17326,2:31,
2017-04-20,Columbus Blue Jackets,2,Pittsburgh Penguins,5,,18585,2:28,
2017-04-21,Boston Bruins,3,Ottawa Senators,2,2OT,19209,4:06,
2017-04-21,Toronto Maple Leafs,1,Washington Capitals,2,OT,18506,2:59,
2017-04-22,St. Louis Blues,4,Minnesota Wild,3,OT,19228,3:14,
2017-04-22,Montreal Canadiens,1,New York Rangers,3,,18006,2:32,
2017-04-22,Edmonton Oilers,3,San Jose Sharks,1,,17562,2:21,
2017-04-23,Ottawa Senators,3,Boston Bruins,2,OT,17565,2:55,
2017-04-23,Washington Capitals,2,Toronto Maple Leafs,1,OT,19740,2:59,
2017-04-26,Edmonton Oilers,5,Anaheim Ducks,3,,17174,2:41,
2017-04-26,Nashville Predators,4,St. Louis Blues,3,,19154,2:50,
2017-04-27,New York Rangers,1,Ottawa Senators,2,,16744,2:33,
2017-04-27,Pittsburgh Penguins,3,Washington Capitals,2,,18506,2:33,
