Date,Visitor,G,Home,G,,Att.,LOG,Notes
2017-04-28,Edmonton Oilers,2,Anaheim Ducks,1,,17174,2:37,
2017-04-28,Nashville Predators,2,St. Louis Blues,3,,19506,2:31,
2017-04-29,New York Rangers,5,Ottawa Senators,6,2OT,18679,3:46,
2017-04-29,Pittsburgh Penguins,6,Washington Capitals,2,,18506,2:46,
2017-04-30,Anaheim Ducks,6,Edmonton Oilers,3,,18347,2:42,
2017-04-30,St. Louis Blues,1,Nashville Predators,3,,17220,2:36,
2017-05-01,Washington Capitals,3,Pittsburgh Penguins,2,OT,18625,3:05,
2017-05-02,St. Louis Blues,1,Nashville Predators,2,,17273,2:45,
2017-05-02,Ottawa Senators,1,New York Rangers,4,,18006,2:27,
2017-05-03,Anaheim Ducks,4,Edmonton Oilers,3,OT,18347,2:56,
2017-05-03,Washington Capitals,2,Pittsburgh Penguins,3,,18617,2:35,
2017-05-04,Ottawa Senators,1,New York Rangers,4,,18006,2:42,
2017-05-05,Edmonton Oilers,3,Anaheim Ducks,4,2OT,17358,3:53,
2017-05-05,Nashville Predators,1,St. Louis Blues,2,,19168,2:32,
2017-05-06,New York Rangers,4,Ottawa Senators,5,OT,19082,3:08,
2017-05-06,Pittsburgh Penguins,2,Washington Capitals,4,,18506,2:28,
2017-05-07,Anaheim Ducks,1,Edmonton Oilers,7,,18347,2:46,
2017-05-07,St. Louis Blues,1,Nashville Predators,3,,17240,2:31,
2017-05-08,Washington Capitals,5,Pittsburgh Penguins,2,,18594,2:33,
2017-05-09,Ottawa Senators,4,New York Rangers,2,,18006,2:27,
2017-05-10,Edmonton Oilers,1,Anaheim Ducks,2,,17407,2:23,
2017-05-10,Pittsburgh Penguins,2,Washington Capitals,0,,18506,2:26,
2017-05-12,Nashville Predators,3,Anaheim Ducks,2,OT,17174,3:09,
2017-05-13,Ottawa Senators,2,Pittsburgh Penguins,1,OT,18614,2:56,
2017-05-14,Nashville Predators,3,Anaheim Ducks,5,,17174,2:40,
2017-05-15,Ottawa Senators,0,Pittsburgh Penguins,1,,18610,2:32,
2017-05-16,Anaheim Ducks,1,Nashville Predators,2,,17338,2:45,
2017-05-17,Pittsburgh Penguins,1,Ottawa Senators,5,,18615,2:35,
2017-05-18,Anaheim Ducks,3,Nashville Predators,2,OT,17423,3:13,
2017-05-19,Pittsburgh Penguins,3,Ottawa Senators,2,,19145,2:32,
2017-05-20,Nashville Predators,3,Anaheim Ducks,1,,17307,2:43,
2017-05-21,Ottawa Senators,0,Pittsburgh Penguins,7,,18635,2:27,
2017-05-22,Anaheim Ducks,3,Nashville Predators,6,,17352,2:44,
2017-05-23,Pittsburgh Penguins,1,Ottawa Senators,2,,18111,2:48,
2017-05-25,Ottawa Senators,2,Pittsburgh Penguins,3,2OT,18604,3:42,
2017-05-29,Nashville Predators,3,Pittsburgh Penguins,5,,18618,2:39,
2017-05-31,Nashville Predators,1,Pittsburgh Penguins,4,,18643,2:49,
2017-06-03,Pittsburgh Penguins,1,Nashville Predators,5,,17283,2:42,
2017-06-05,Pittsburgh Penguins,1,Nashville Predators,4,,17260,2:44,
2017-06-08,Nashville Predators,0,Pittsburgh Penguins,6,,18605,2:35,
2017-06-11,Pittsburgh Penguins,2,Nashville Predators,0,,17271,2:37,
