Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-05-22,Tampa Bay Lightning,4,Pittsburgh Penguins,3,OT,18648,2:54,
2016-05-23,San Jose Sharks,6,St. Louis Blues,3,,19372,2:31,
2016-05-24,Pittsburgh Penguins,5,Tampa Bay Lightning,2,,19092,2:41,
2016-05-25,St. Louis Blues,2,San Jose Sharks,5,,17562,2:28,
2016-05-26,Tampa Bay Lightning,1,Pittsburgh Penguins,2,,18638,2:40,
2016-05-30,San Jose Sharks,2,Pittsburgh Penguins,3,,18596,2:31,
2016-06-01,San Jose Sharks,1,Pittsburgh Penguins,2,OT,18655,2:50,
2016-06-04,Pittsburgh Penguins,2,San Jose Sharks,3,OT,17562,3:06,
2016-06-06,Pittsburgh Penguins,3,San Jose Sharks,1,,17562,2:35,
2016-06-09,San Jose Sharks,4,Pittsburgh Penguins,2,,18680,2:40,
2016-06-12,Pittsburgh Penguins,3,San Jose Sharks,1,,17562,2:25,
