Date,Visitor,G,Home,G,,Att.,LOG,Notes
2018-04-11,Philadelphia Flyers,0,Pittsburgh Penguins,7,,18556,2:26,
2018-04-11,Los Angeles Kings,0,Vegas Golden Knights,1,,18479,2:33,
2018-04-11,Minnesota Wild,2,Winnipeg Jets,3,,15321,2:37,
2018-04-12,San Jose Sharks,3,Anaheim Ducks,0,,17174,2:36,
2018-04-12,Toronto Maple Leafs,1,Boston Bruins,5,,17565,2:35,
2018-04-12,Colorado Avalanche,2,Nashville Predators,5,,17301,2:24,
2018-04-12,New Jersey Devils,2,Tampa Bay Lightning,5,,19092,2:42,
2018-04-12,Columbus Blue Jackets,4,Washington Capitals,3,OT,18506,2:56,
2018-04-13,Philadelphia Flyers,5,Pittsburgh Penguins,1,,18648,2:35,
2018-04-13,Los Angeles Kings,1,Vegas Golden Knights,2,2OT,18588,4:12,
2018-04-13,Minnesota Wild,1,Winnipeg Jets,4,,15321,2:42,
2018-04-14,San Jose Sharks,3,Anaheim Ducks,2,,17430,2:30,
2018-04-14,Toronto Maple Leafs,3,Boston Bruins,7,,17565,2:42,
2018-04-14,Colorado Avalanche,4,Nashville Predators,5,,17369,2:34,
2018-04-14,New Jersey Devils,3,Tampa Bay Lightning,5,,19092,2:49,
2018-04-15,Vegas Golden Knights,3,Los Angeles Kings,2,,18484,2:38,
2018-04-15,Winnipeg Jets,2,Minnesota Wild,6,,19175,2:39,
2018-04-15,Pittsburgh Penguins,5,Philadelphia Flyers,1,,19955,2:32,
2018-04-15,Columbus Blue Jackets,5,Washington Capitals,4,OT,18506,3:29,
2018-04-16,Nashville Predators,3,Colorado Avalanche,5,,18087,2:48,
2018-04-16,Tampa Bay Lightning,2,New Jersey Devils,5,,16514,4:07,
2018-04-16,Anaheim Ducks,1,San Jose Sharks,8,,17562,2:43,
2018-04-16,Boston Bruins,2,Toronto Maple Leafs,4,,19663,2:43,
2018-04-17,Washington Capitals,3,Columbus Blue Jackets,2,2OT,19337,3:46,
2018-04-17,Vegas Golden Knights,1,Los Angeles Kings,0,,18422,2:28,
2018-04-17,Winnipeg Jets,2,Minnesota Wild,0,,19277,2:24,
2018-04-18,Nashville Predators,3,Colorado Avalanche,2,,18087,2:36,
2018-04-18,Tampa Bay Lightning,3,New Jersey Devils,1,,16514,2:41,
2018-04-18,Pittsburgh Penguins,5,Philadelphia Flyers,0,,19644,2:26,
2018-04-18,Anaheim Ducks,1,San Jose Sharks,2,,17562,2:25,
2018-04-19,Washington Capitals,4,Columbus Blue Jackets,1,,19395,2:28,
2018-04-19,Boston Bruins,3,Toronto Maple Leafs,1,,19689,2:36,
2018-04-20,Colorado Avalanche,2,Nashville Predators,1,,17504,2:34,
2018-04-20,Philadelphia Flyers,4,Pittsburgh Penguins,2,,18632,2:31,
2018-04-20,Minnesota Wild,0,Winnipeg Jets,5,,15321,2:24,
2018-04-21,Toronto Maple Leafs,4,Boston Bruins,3,,17565,2:40,
2018-04-21,New Jersey Devils,1,Tampa Bay Lightning,3,,19029,2:32,
2018-04-21,Columbus Blue Jackets,3,Washington Capitals,4,OT,18506,3:01,
2018-04-22,Nashville Predators,5,Colorado Avalanche,0,,18087,2:40,
2018-04-22,Pittsburgh Penguins,8,Philadelphia Flyers,5,,19861,2:33,
2018-04-23,Washington Capitals,6,Columbus Blue Jackets,3,,18667,2:28,
2018-04-23,Boston Bruins,1,Toronto Maple Leafs,3,,19604,2:43,
2018-04-25,Toronto Maple Leafs,4,Boston Bruins,7,,17565,2:42,
2018-04-26,San Jose Sharks,0,Vegas Golden Knights,7,,18444,2:38,
2018-04-26,Pittsburgh Penguins,3,Washington Capitals,2,,18506,2:26,
2018-04-27,Winnipeg Jets,4,Nashville Predators,1,,17307,2:27,
2018-04-28,Boston Bruins,6,Tampa Bay Lightning,2,,19092,2:30,
2018-04-28,San Jose Sharks,4,Vegas Golden Knights,3,2OT,18671,3:59,
2018-04-29,Winnipeg Jets,4,Nashville Predators,5,2OT,17274,3:42,
2018-04-29,Pittsburgh Penguins,1,Washington Capitals,4,,18506,2:41,
