Date,Visitor,G,Home,G,,Att.,LOG,Notes
2018-04-30,Vegas Golden Knights,4,San Jose Sharks,3,OT,17562,3:08,
2018-04-30,Boston Bruins,2,Tampa Bay Lightning,4,,19092,2:36,
2018-05-01,Washington Capitals,4,Pittsburgh Penguins,3,,18634,2:39,
2018-05-01,Nashville Predators,4,Winnipeg Jets,7,,15321,2:46,
2018-05-02,Tampa Bay Lightning,4,Boston Bruins,1,,17565,2:34,
2018-05-02,Vegas Golden Knights,0,San Jose Sharks,4,,17562,2:32,
2018-05-03,Washington Capitals,1,Pittsburgh Penguins,3,,18650,2:34,
2018-05-03,Nashville Predators,2,Winnipeg Jets,1,,15321,2:30,
2018-05-04,Tampa Bay Lightning,4,Boston Bruins,3,OT,17565,2:55,
2018-05-04,San Jose Sharks,3,Vegas Golden Knights,5,,18693,2:44,
2018-05-05,Winnipeg Jets,6,Nashville Predators,2,,17513,2:30,
2018-05-05,Pittsburgh Penguins,3,Washington Capitals,6,,18506,2:41,
2018-05-06,Vegas Golden Knights,3,San Jose Sharks,0,,17562,2:32,
2018-05-06,Boston Bruins,1,Tampa Bay Lightning,3,,19092,2:37,
2018-05-07,Washington Capitals,2,Pittsburgh Penguins,1,OT,18621,2:50,
2018-05-07,Nashville Predators,4,Winnipeg Jets,0,,15321,2:33,
2018-05-10,Winnipeg Jets,5,Nashville Predators,1,,17523,2:29,
2018-05-11,Washington Capitals,4,Tampa Bay Lightning,2,,19092,2:28,
2018-05-12,Vegas Golden Knights,2,Winnipeg Jets,4,,15321,2:32,
2018-05-13,Washington Capitals,6,Tampa Bay Lightning,2,,19092,2:38,
2018-05-14,Vegas Golden Knights,3,Winnipeg Jets,1,,15321,2:29,
2018-05-15,Tampa Bay Lightning,4,Washington Capitals,2,,18506,2:39,
2018-05-16,Winnipeg Jets,2,Vegas Golden Knights,4,,18477,2:41,
2018-05-17,Tampa Bay Lightning,4,Washington Capitals,2,,18506,2:34,
2018-05-18,Winnipeg Jets,2,Vegas Golden Knights,3,,18697,2:35,
2018-05-19,Washington Capitals,2,Tampa Bay Lightning,3,,19092,2:28,
2018-05-20,Vegas Golden Knights,2,Winnipeg Jets,1,,15321,2:25,
2018-05-21,Tampa Bay Lightning,0,Washington Capitals,3,,18506,2:34,
2018-05-23,Washington Capitals,4,Tampa Bay Lightning,0,,19092,2:27,
2018-05-28,Washington Capitals,4,Vegas Golden Knights,6,,18575,2:45,
2018-05-30,Washington Capitals,3,Vegas Golden Knights,2,,18702,2:42,
2018-06-02,Vegas Golden Knights,1,Washington Capitals,3,,18506,2:38,
2018-06-04,Vegas Golden Knights,2,Washington Capitals,6,,18506,2:39,
2018-06-07,Washington Capitals,4,Vegas Golden Knights,3,,18529,2:45,
